ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_19702_ffa48700,19702,NES008,NESPRESSO VOLLUTO DECA X 10CAP NESPRESSO VOLLUTO DECA X 10CAP,0.00,Dry Goods,NESPRESSO FRANCE,4.80,8.80
__export__.product_template_24394_5af85ab5,24394,SNK055,NESQUICK BARS CHOCO X24PC BARRES NESQUICK CHOCO X24PC,0.00,Dry Goods,CARREFOUR,7.60,14.41
__export__.product_template_24303_66fad37c,24303,SC029,NESQUIK 600GR NESQUIK 600GR,0.00,Dry Goods,METRO,4.65,10.70
__export__.product_template_24632_3f1d859b,24632,,NESTLE CONDENSED MILK 1KG NESTLE LAIT CONCENTRE 1KG ,0.00,All,,0.00,6.30
__export__.product_template_22704_e5440cd1,22704,SC52,NESTLE MILK CHOCOLAT RAISIN NUT NESTLE LAIT CHOCOLAT RAISIN NOIX,0.00,Dry Goods,METRO,3.19,5.12
__export__.product_template_20367_4a4f3ef7,20367,EPI0034,NIGELLA SEEDS - 100ML GRAINS DE NIGELLE - 100ML,0.00,Dry Goods,SORIPA GASTRONOMIE,4.34,8.68
__export__.product_template_21333_d2714798,21333,SAKE001,NIKKA WHISKY BARREL - 50CL NIKKA WHISKY BARREL - 50CL,0.00,Alcohol & Spirits,WORKSHOP,50.00,58.33
__export__.product_template_27182_b6291ae2,27182,DRY GOODSFRUIT4,NOCCIOLA DEL PIEMONTE-160GR NAJA,47.00,Dry Goods,,0.00,13.90
__export__.product_template_20617_2ef061ea,20617,DRYSNACK04,NOIX CAJOU TRUFFE NOIRE NAJA - 140G NOIX DE CAJOU TRUFFE NOIRE - 140G,30.00,Dry Goods,ESPRIT GOURMAND,6.16,10.52
__export__.product_template_26744_03dcb9f8,26744,SC399,NOIX DE COCO EN LAMEL - COCONUT FLAKES,0.00,Dry Goods,,0.00,2.99
